director_name,mean_imdb_score
David Palmer,6.1
Efram Potelle,6.1
Eric Nicholas,6.1
Franck Khalfoun,6.1
Gene Quintano,6.1
Griffin Dunne,6.1
Hitoshi Matsumoto,6.1
James DeMonaco,6.1
James Mather,6.1
Jason Eisener,6.1
Jez Butterworth,6.1
Joe Camp,6.1
John Boorman,6.1
John Francis Daley,6.1
John Herzfeld,6.1
Jonathan Glazer,6.1
Jorge Blanco,6.1
Joshua Michael Stern,6.1
Karim AÃ¯nouz,6.1
Kerry Conran,6.1
Kirk Wong,6.1
Kurt Voss,6.1
Leigh Whannell,6.1
Marcus Dunstan,6.1
Martin Brest,6.1
Max Joseph,6.1
Nick Love,6.1
Panos Cosmatos,6.1
Patrick Hughes,6.1
Rob Schmidt,6.1
Rupert Sanders,6.1
Rusty Cundieff,6.1
RyÃ»hei Kitamura,6.1
Sam Fell,6.1
Sheldon Lettich,6.1
Stig Bergqvist,6.1
Stuart Gordon,6.1
Susanna White,6.1
Tom Gormican,6.1
Tom Holland,6.1
Shawn Levy,6.09
Simon West,6.09
Catherine Hardwicke,6.08
Chris Weitz,6.08
Gary Winick,6.08
Ivan Reitman,6.08
McG,6.08
Stephen Sommers,6.08
Seth Gordon,6.07
Clark Johnson,6.05
Dave Green,6.05
Davis Guggenheim,6.05
Mark Steven Johnson,6.05
NimrÃ³d Antal,6.05
Rob Bowman,6.05
Rob Letterman,6.05
Thomas Bezucha,6.05
Tim Story,6.05
Todd Graff,6.05
Tommy O'Haver,6.05
Xavier Gens,6.05
Anne Fletcher,6.04
Chuck Russell,6.04
Frank Coraci,6.04
M. Night Shyamalan,6.04
Barbet Schroeder,6.03
Jay Chandrasekhar,6.03
Jesse Dylan,6.03
Jon Gunn,6.03
Paul Weitz,6.02
Wayne Wang,6.02
Alan Cohn,6
Andrew Douglas,6
Anurag Basu,6
Bruce Paltrow,6
Craig Bolotin,6
Dan Mazer,6
David Boyd,6
Elizabeth Allen Rosenbaum,6
Eric Schaeffer,6
Etan Cohen,6
Frank Sebastiano,6
Gil Junger,6
Greg Harrison,6
Jamie Travis,6
Jaume BalaguerÃ³,6
Jennifer Flackett,6
Jon Avnet,6
Kinka Usher,6
Lexi Alexander,6
Li Zhang,6
Luke Greenfield,6
Marc SchÃ¶lermann,6
Mark L. Lester,6
Mark Mylod,6
Matt Dillon,6
Michael Cristofer,6
Michael Gornick,6
Michael McCullers,6
Michael Pressman,6
Morgan Spurlock,6
Paul Gross,6
Paul Tibbitt,6
Richard Raymond,6
Robert Luketic,6
Stephen Milburn Anderson,6
Steve Taylor,6
Takao Okawara,6
Tony Richardson,6
Paul W.S. Anderson,5.99
Howard Deutch,5.97
John Stockwell,5.97
Adam Shankman,5.96
Chris Rock,5.95
David Wain,5.95
Garry Marshall,5.95
George Gallo,5.95
Jesse Peretz,5.95
John A. Davis,5.95
Kevin Bray,5.95
Kevin Lima,5.95
Kurt Wimmer,5.95
Lee Tamahori,5.95
Ryan Murphy,5.95
Ti West,5.95
Rob Minkoff,5.94
Agnieszka Wojtowicz-Vosloo,5.9
Alex Rivera,5.9
Alister Grierson,5.9
Anthony Hemingway,5.9
Babak Najafi,5.9
Beeban Kidron,5.9
Benny Boom,5.9
Bronwen Hughes,5.9
Cal Brunker,5.9
Callie Khouri,5.9
Carter Smith,5.9
Chris Carter,5.9
Clare Kilner,5.9
Dan Cutforth,5.9
Demian Lichtenstein,5.9
Don Scardino,5.9
Ed Decter,5.9
Forest Whitaker,5.9
Francesca Gregorini,5.9
Gary David Goldberg,5.9
Harry Elfont,5.9
Igor Kovalyov,5.9
Jake Paltrow,5.9
Jeff Burr,5.9
John 'Bud' Cardos,5.9
Joseph Zito,5.9
Julio DePietro,5.9
Kate Connor,5.9
Ken Scott,5.9
Kirk De Micco,5.9
Leon Ichaso,5.9
Mamoru Hosoda,5.9
Matty Rich,5.9
Mennan Yapo,5.9
Michael Caton-Jones,5.9
Michael Lembeck,5.9
Michael Tollin,5.9
Mike Marvin,5.9
Olatunde Osunsanmi,5.9
Ole Bornedal,5.9
Patrick Stettner,5.9
Paul Feig,5.9
Paul Mazursky,5.9
Risa Bramon Garcia,5.9
Robert Ben Garant,5.9
Ron Shelton,5.9
Shari Springer Berman,5.9
Tom Kalin,5.9
Tom McLoughlin,5.9
Tuck Tucker,5.9
Wayne Beach,5.9
Steve Pink,5.87
Jonathan Frakes,5.85
Kasi Lemmons,5.85
Luis Mandoki,5.85
Steven Quale,5.85
Henry Joost,5.83
Hugh Wilson,5.83
Thor Freudenthal,5.83
Colin Higgins,5.8
Daniel Sackheim,5.8
David Atkins,5.8
David Hackl,5.8
Ernie Barbarash,5.8
Gary Halvorson,5.8
Hue Rhodes,5.8
Jeff Franklin,5.8
Jody Hill,5.8
John Duigan,5.8
John Frankenheimer,5.8
John Moore,5.8
Kate Barker-Froyland,5.8
Kelly Makin,5.8
Kent Alterman,5.8
Kevin Greutert,5.8
Maggie Carey,5.8
Marcus Raboy,5.8
Mark Christopher,5.8
Mikael Salomon,5.8
Pascal Arnold,5.8
Paul Abascal,5.8
Paul Weiland,5.8
Peter Lepeniotis,5.8
Quentin Dupieux,5.8
Robin Budd,5.8
Sylvain White,5.8
Timothy BjÃ¶rklund,5.8
Stephen Hopkins,5.78
Andy Fickman,5.77
Paul Schrader,5.77
Steve Miner,5.76
Mick Jackson,5.75
Renny Harlin,5.75
Sam Miller,5.75
Amy Heckerling,5.73
Dennis Dugan,5.73
Rob Zombie,5.73
Akiva Schaffer,5.7
Antony Hoffman,5.7
Boris Rodriguez,5.7
Danny Cannon,5.7
Ekachai Uekrongtham,5.7
Emile Ardolino,5.7
Eric Blakeney,5.7
Gregory Jacobs,5.7
Jeannot Szwarc,5.7
Joel Gallen,5.7
John Lafia,5.7
Jonathan Liebesman,5.7
Josh Trank,5.7
Joshua Seftel,5.7
Kat Coiro,5.7
Kevin Munroe,5.7
Kevin Rodney Sullivan,5.7
Kevin Tenney,5.7
Levan Gabriadze,5.7
Mark Rosman,5.7
Mathieu Kassovitz,5.7
Michael D. Sellers,5.7
Paul Bunnell,5.7
Peter MacDonald,5.7
Rick Bieber,5.7
Salim Akil,5.7
Scott Alexander,5.7
Tod Williams,5.7
Youssef Delara,5.7
Rob Cohen,5.69
Robert Rodriguez,5.69
Mike Mitchell,5.68
Steven Brill,5.68
Joe Nussbaum,5.67
Donald Petrie,5.66
J.B. Rogers,5.65
Michael Lehmann,5.65
Michael Ritchie,5.65
Michael Rymer,5.65
Simon Wells,5.65
George A. Romero,5.63
John Pasquin,5.63
Simon Wincer,5.63
Stefan Ruzowitzky,5.63
Albert Brooks,5.6
Angelina Jolie Pitt,5.6
Blair Hayes,5.6
Bob Dolman,5.6
Brandon Camp,5.6
Brandon Trost,5.6
Brian Gibson,5.6
Charles Stone III,5.6
Christopher Spencer,5.6
Daniel Barnz,5.6
Daniel Stamm,5.6
Darren Grant,5.6
Gary Chapman,5.6
Gene Teigland,5.6
Harley Cokeliss,5.6
Henry Hobson,5.6
Ice Cube,5.6
James Bridges,5.6
Jim Gillespie,5.6
Joe Swanberg,5.6
John Eng,5.6
Johnny Remo,5.6
Jonas Elmer,5.6
Joseph Ruben,5.6
Justin Zackham,5.6
Kaige Chen,5.6
Karey Kirkpatrick,5.6
Keith Gordon,5.6
Malcolm D. Lee,5.6
Mark Helfrich,5.6
Mark Tonderai,5.6
Martin Lawrence,5.6
Mary Lambert,5.6
Michael Dinner,5.6
Nick Gomez,5.6
Patrick Read Johnson,5.6
Rich Christiano,5.6
Scott Kalvert,5.6
Troy Nixey,5.6
Walt Becker,5.6
Wil Shriner,5.6
Eli Roth,5.57
Mark Neveldine,5.56
Craig R. Baxley,5.55
Julie Anne Robinson,5.55
Tim Hill,5.55
Brian Robbins,5.53
Walter Hill,5.53
David R. Ellis,5.52
Jan de Bont,5.52
Andrew Wilson,5.5
Benjamin Dickinson,5.5
Chris Kentis,5.5
Daniel Algrant,5.5
David Nutter,5.5
Dennie Gordon,5.5
Greg Coolidge,5.5
Harald Zwart,5.5
Jeff Kanew,5.5
Joan Chen,5.5
John Cornell,5.5
John Luessenhop,5.5
John Putch,5.5
Jorma Taccone,5.5
Les Mayfield,5.5
Matt Piedmont,5.5
Melvin Van Peebles,5.5
Michael Meredith,5.5
Paul Hunter,5.5
Peter Billingsley,5.5
Roland JoffÃ©,5.5
Ron Underwood,5.5
Ronny Yu,5.5
Ruairi Robinson,5.5
Steve Beck,5.5
Will Finn,5.5
Tom Dey,5.47
Bart Freundlich,5.45
Brett Leonard,5.45
David Raynr,5.45
Joe Roth,5.45
Joel Zwick,5.45
John Polson,5.45
Sam Weisman,5.45
Scott Stewart,5.45
Takashi Shimizu,5.45
Adam Goldberg,5.4
Andrew Erwin,5.4
Brad Peyton,5.4
Camille Delamarre,5.4
Cyrus Nowrasteh,5.4
Danny Pang,5.4
Darren Stein,5.4
David Moreau,5.4
Doug Lefler,5.4
Elizabeth Banks,5.4
Ellory Elkayem,5.4
Frank Whaley,5.4
Fred Wolf,5.4
Geoff Murphy,5.4
Jack Sholder,5.4
John Schlesinger,5.4
John Schultz,5.4
John Stainton,5.4
Jonathan Newman,5.4
Josh Schwartz,5.4
Kevin Allen,5.4
Marc Lawrence,5.4
Peter Chelsom,5.4
Ringo Lam,5.4
RZA,5.4
Siddharth Anand,5.4
Steve Trenbirth,5.4
Wallace Wolodarsky,5.4
William Shatner,5.4
Andrey Konchalovskiy,5.35
Glen Morgan,5.35
Steve Carr,5.35
Jon M. Chu,5.34
Alan Poul,5.3
Anthony Bell,5.3
Anthony Hickox,5.3
Betty Thomas,5.3
Bob Odenkirk,5.3
Charles S. Dutton,5.3
Claudia Llosa,5.3
Dewey Nicks,5.3
Ericson Core,5.3
Fina Torres,5.3
Geoffrey Sax,5.3
George Ratliff,5.3
Gregory Poirier,5.3
Harmony Korine,5.3
J.S. Cardone,5.3
Jim Fall,5.3
Jimmy Hayward,5.3
Joe Charbanic,5.3
John Carl Buechler,5.3
John Gray,5.3
Karyn Kusama,5.3
Kevin Donovan,5.3
Kevin Hooks,5.3
Leslye Headland,5.3
Mark Tarlov,5.3
Michael Chapman,5.3
Myles Berkowitz,5.3
Neema Barnette,5.3
Patrick Lussier,5.3
Peter Hewitt,5.3
Rand Ravich,5.3
Rick Friedberg,5.3
Steve Barron,5.3
Tim Heidecker,5.3
Tina Gordon Chism,5.3
Tom Schulman,5.3
Vicky Jenson,5.3
James Wong,5.28
Reginald Hudlin,5.27
Roger Kumble,5.27
Andrzej Bartkowiak,5.26
David Zucker,5.26
Chris Koch,5.25
Craig Mazin,5.25
Dwight H. Little,5.25
James Toback,5.25
Steve Rash,5.25
Peter Hyams,5.22
Alan Shapiro,5.2
Barry Cook,5.2
Cathy Malkasian,5.2
CiarÃ¡n Foy,5.2
David Gelb,5.2
Dominique Othenin-Girard,5.2
Eric Brevig,5.2
Franklin J. Schaffner,5.2
Gonzalo LÃ³pez-Gallego,5.2
Gordon Chan,5.2
Hugh Johnson,5.2
J Blakeson,5.2
Jeff Lowell,5.2
Kevin Tancharoen,5.2
Louis C.K.,5.2
Mark A.Z. DippÃ©,5.2
Mark Brown,5.2
Masayuki Ochiai,5.2
Nick Hurran,5.2
Oliver Blackburn,5.2
Ruba Nadda,5.2
Keenen Ivory Wayans,5.18
David S. Goyer,5.17
Robert Harmon,5.15
Ben Falcone,5.1
Bruce Hunt,5.1
Christian Duguay,5.1
Dinesh D'Souza,5.1
Dito Montiel,5.1
Fred Durst,5.1
George Jackson,5.1
Hoyt Yeatman,5.1
Jamie Blanks,5.1
John Hoffman,5.1
Jon Hess,5.1
Mark Piznarski,5.1
Martin Weisz,5.1
Mary McGuckian,5.1
Michael Herz,5.1
Ray Griggs,5.1
Robby Henson,5.1
Romesh Sharma,5.1
Shane Dawson,5.1
Stefen Fangmeier,5.1
Stewart Hendler,5.1
Stuart Beattie,5.1
William A. Graham,5.1
William Brent Bell,5.1
Zach Cregger,5.1
Bruce McCulloch,5.05
Rachel Talalay,5.05
Angela Robinson,5
Benson Lee,5
Bille Woodruff,5
Bradley Parker,5
Christopher Landon,5
David E. Talbert,5
David McNally,5
Enrique Begne,5
Jerry Jameson,5
Luis Llosa,5
Maurice Joyce,5
Michael J. Bassett,5
Stephen Kay,5
Tamra Davis,5
William A. Fraker,5
Raja Gosnell,4.92
Chris Gorak,4.9
Diane English,4.9
Don Mancini,4.9
Joe Chappelle,4.9
Kris Isacsson,4.9
Mabrouk El Mechri,4.9
Mort Nathan,4.9
Stephan Elliott,4.9
John Whitesell,4.88
Brian Levant,4.82
Andrew Bergman,4.8
Bruce Dellis,4.8
Christian E. Christiansen,4.8
Corey Yuen,4.8
Hark Tsui,4.8
Harry F. Millarde,4.8
Janusz Kaminski,4.8
Jason Zada,4.8
Mike Disa,4.8
Nick Hamm,4.8
Phil Traill,4.8
Ruggero Deodato,4.8
Stuart Gillard,4.8
Vivek Agnihotri,4.8
Tyler Perry,4.77
Richard Benjamin,4.73
Courtney Solomon,4.7
Danny Steinmann,4.7
Diane Keaton,4.7
Jim Sonzero,4.7
John Bonito,4.7
Katherine Dieckmann,4.7
Robert Butler,4.7
S.R. Bindler,4.7
Sam Firstenberg,4.7
Sue Corcoran,4.7
Warren P. Sonoda,4.7
Alan Rudolph,4.6
Alex Craig Mann,4.6
Daisy von Scherler Mayer,4.6
Deb Hagan,4.6
Douglas Aarniokoski,4.6
Huck Botko,4.6
Katt Shea,4.6
Mike Bigelow,4.6
Rob Pritts,4.6
Sara Sugarman,4.6
Tommy Lee Wallace,4.6
Willard Huyck,4.6
Colin Strause,4.55
John R. Leonetti,4.55
Gary Sherman,4.5
Jesse Vaughan,4.5
Nancy Walker,4.5
Paul Bolger,4.5
Rob Hedden,4.5
Tom Green,4.5
William Malone,4.45
Michael Tiddes,4.43
James Isaac,4.4
James Manera,4.4
Jessy Terrero,4.4
Marc F. Adler,4.4
Peter M. Cohen,4.4
Robert Iscove,4.4
Steven Seagal,4.4
Stiles White,4.4
Adam Marcus,4.3
Andrew Morahan,4.3
Charles T. Kanganis,4.3
Christopher Erskin,4.3
Dave Meyers,4.3
DJ Pooh,4.3
Michael Patrick King,4.3
Elaine May,4.2
Meiert Avis,4.2
Travis Cluff,4.2
Brian Trenchard-Smith,4.1
Chris Roberts,4.1
David Kellogg,4.1
Deon Taylor,4.1
Des McAnuff,4.1
Eric Bross,4.1
Jeffrey W. Byrd,4.1
John Ottman,4.1
Marcos Siega,4.1
Mic Rodgers,4.1
Mike Bruce,4.1
Preston A. Whitmore II,4.1
Rick Rosenthal,4.1
Sam Taylor-Johnson,4.1
Todd Lincoln,4.1
Annabel Jankel,4
Ed Gass-Donnelly,4
Joe Berlinger,4
Joseph Kahn,4
Matt Bettinelli-Olpin,4
Peter Hastings,4
Carmen Marron,3.9
Eric Valette,3.9
Fred Dekker,3.9
Michael Martin,3.9
Nelson McCormick,3.9
Scott Marshall,3.9
Stephen Carpenter,3.9
Steve Boyum,3.9
Bo Welch,3.8
Marco Schnabel,3.8
Mickey Liddell,3.8
Steven E. de Souza,3.8
Sylvio Tabet,3.8
Lawrence Guterman,3.7
Britt Allcroft,3.6
Hyung-rae Shim,3.6
JosÃ© Luis Valenzuela,3.6
Louis Morneau,3.6
Sidney J. Furie,3.6
Wych Kaosayananda,3.6
Bob Clark,3.53
Arthur Hiller,3.5
Chris Stokes,3.5
Damien Dante Wayans,3.5
Hal Needham,3.5
Robert Marcarelli,3.5
Harold Cronk,3.4
Troy Miller,3.4
Alan Metter,3.3
Arjun Sablok,3.3
Bob Spiers,3.3
Don Michael Paul,3.3
Gary Rogers,3.3
Klaus Menzel,3.3
Perry Andelin Blake,3.3
Pitof,3.3
Tom Brady,3.3
Christopher Leitch,3.2
Charles Robert Carner,3.1
Trent Cooper,3.1
Vic Armstrong,3.1
Jim Goddard,3
Nnegest LikkÃ©,3
Uwe Boll,3
Fred Savage,2.9
Dave Borthwick,2.8
Joseph Sargent,2.8
Kenneth Johnson,2.8
Steve Gomer,2.8
Aaron Seltzer,2.7
Rick de Oliveira,2.7
Jason Friedberg,2.6
Roger Christian,2.4
Alex Zamm,2.3
Vondie Curtis-Hall,2.1
