director_name,mean_imdb_score
Johnnie To,7.3
Jorge R. GutiÃ©rrez,7.3
Laurent Tirard,7.3
Maggie Greenwald,7.3
Max FÃ¤rberbÃ¶ck,7.3
Nicholas Fackler,7.3
Ole Christian Madsen,7.3
Patrice Leconte,7.3
Patty Jenkins,7.3
Paul Crowder,7.3
Peter Farrelly,7.3
Peter Ramsey,7.3
Richard Glatzer,7.3
Robinson Devor,7.3
Stephen J. Anderson,7.3
Theodore Melfi,7.3
Tom McGrath,7.3
Bryan Singer,7.29
Phil Lord,7.28
Lee Daniels,7.27
Matt Reeves,7.27
Terence Young,7.27
Ang Lee,7.25
Richard Eyre,7.25
Terry Zwigoff,7.25
Tim Robbins,7.25
Jean-Jacques Annaud,7.23
Kathryn Bigelow,7.23
Marc Forster,7.23
Clint Eastwood,7.21
Aki KaurismÃ¤ki,7.2
Alessandro Carloni,7.2
Allen Coulter,7.2
Anna Boden,7.2
Ben Lewin,7.2
Billy Ray,7.2
Carlos Saura,7.2
Chris Eyre,7.2
Courtney Hunt,7.2
Craig Brewer,7.2
Daniel Barber,7.2
David S. Ward,7.2
David Yates,7.2
Debra Granik,7.2
FranÃ§ois Truffaut,7.2
Gabor Csupo,7.2
Henry Bean,7.2
Jamal Hill,7.2
James Wan,7.2
Jason Moore,7.2
Jason Reitman,7.2
Jonathan Caouette,7.2
Jonathan Demme,7.2
Jonathan Levine,7.2
Lee Toland Krieger,7.2
Marc Levin,7.2
Mark Andrews,7.2
Maurizio Benazzo,7.2
Michel Leclerc,7.2
Mor Loushy,7.2
Nacho Vigalondo,7.2
Nadine Labaki,7.2
Oren Moverman,7.2
Paul King,7.2
Peter Kosminsky,7.2
R. Balki,7.2
Richard Dutcher,7.2
Richard Kwietniowski,7.2
Richard Williams,7.2
Robert Duvall,7.2
Robert Fontaine,7.2
Robert Towne,7.2
Robert Wise,7.2
Ryan Fleck,7.2
Susanne Bier,7.2
Takeshi Kitano,7.2
Todd Haynes,7.2
Tom Sanchez,7.2
U. Roberto Romano,7.2
Wayne Kramer,7.2
Wilson Yip,7.2
Xavier Beauvois,7.2
Zack Snyder,7.18
David O. Russell,7.17
Jeff Nichols,7.17
Kevin Costner,7.17
Neill Blomkamp,7.17
Kenneth Branagh,7.16
Andrew Adamson,7.15
Lone Scherfig,7.15
Rian Johnson,7.15
Simon Curtis,7.15
Victor Nunez,7.15
Zach Braff,7.15
Guillermo del Toro,7.14
Christopher Guest,7.13
Doug Liman,7.13
Gina Prince-Bythewood,7.13
Gus Van Sant,7.13
James Gunn,7.13
Jon Favreau,7.13
Marc Webb,7.13
Baz Luhrmann,7.12
Ethan Coen,7.11
Guy Ritchie,7.11
Aaron Schneider,7.1
Adrienne Shelly,7.1
Antonia Bird,7.1
Brian Baugh,7.1
Brian Klugman,7.1
CÃ©dric Klapisch,7.1
Dan Fogelman,7.1
FranÃ§ois Ozon,7.1
Gary Ross,7.1
George Nolfi,7.1
Hans Canosa,7.1
IstvÃ¡n SzabÃ³,7.1
James Ivory,7.1
James Ponsoldt,7.1
Jeremy Saulnier,7.1
Jill Sprecher,7.1
Joel Edgerton,7.1
John Badham,7.1
John Cameron Mitchell,7.1
John Maybury,7.1
Jonathan Teplitzky,7.1
Julian Jarrold,7.1
Justin Kerrigan,7.1
Kenneth Lonergan,7.1
Lajos Koltai,7.1
Lisa Cholodenko,7.1
Martin Koolhoven,7.1
Michael Cuesta,7.1
Michael Radford,7.1
