genres,mean_imdb_score
Comedy|Horror|Thriller,4
Action|Crime|Drama,4
Action|Adventure|Fantasy|Romance,3
Adventure|Animation|Comedy|Family|Sport,3
Action|Adventure|Horror|Sci-Fi|Thriller,3
Western,3
Action|Adventure|Animation|Comedy|Family|Sci-Fi,3
Adventure|Drama|Fantasy|Romance,3
Action|Animation|Comedy|Family|Sci-Fi,3
Action|Comedy|Fantasy,3
Adventure|Animation|Comedy|Family|Musical,3
Action|Adventure|History,3
Action|Drama|Romance,3
Action|Comedy|Crime|Romance|Thriller,3
Action|Adventure|Mystery|Sci-Fi|Thriller,3
Action|Crime|Romance|Thriller,3
Biography|Drama|War,3
Drama|History|Romance|War,3
Adventure|Animation|Comedy|Family|Romance,3
Drama|Family|Fantasy|Romance,3
Drama|Fantasy|Thriller,3
Drama|Fantasy|Horror|Mystery|Thriller,3
Comedy|Drama|Sci-Fi,3
Action|Adventure|Comedy|Fantasy,3
Adventure|Comedy|Drama|Family|Fantasy,3
Comedy|Family|Sci-Fi,3
Action|Adventure|Drama|History|Romance,3
Action|Crime|Fantasy|Thriller,3
Biography|Comedy|Drama|History,3
Action|Comedy|Sport,3
Action|Drama|Sport,3
Comedy|Drama|Musical|Romance,3
Adventure|Drama|History,3
Comedy|Crime|Romance|Thriller,3
Documentary|Sport,3
Comedy|Drama|Family|Fantasy,3
Drama|Fantasy|Romance|Sci-Fi,3
Adventure|Comedy|Fantasy,3
Comedy|Musical,3
Adventure|Drama|Western,3
Comedy|Western,3
Adventure|Biography|Drama|Thriller,3
Crime|Horror|Mystery|Thriller,3
Comedy|Drama|Fantasy,3
Biography|Comedy|Crime|Drama,3
Horror|Mystery|Sci-Fi,3
Adventure|Biography|Drama,3
Adventure|Family,3
Adventure|Comedy|Family|Romance,3
Adventure|Family|Fantasy|Musical,3
Action|Crime|Drama|Thriller|Western,3
Comedy|Horror|Sci-Fi,3
Adventure|Drama|Fantasy,3
Comedy|Drama|Family|Sport,3
Comedy|Crime|Drama|Romance|Thriller,3
Drama|Horror,3
Thriller,3
Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,2
Action|Adventure|Drama|History,2
Action|Adventure|Drama|Sci-Fi,2
Action|Drama|History|Romance|War,2
Adventure|Animation|Comedy|Family|Fantasy|Musical,2
Adventure|Animation|Comedy|Drama|Family,2
Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,2
Adventure,2
Action|Adventure|Crime|Mystery|Thriller,2
Action|Adventure|Mystery|Sci-Fi,2
Action|Drama|Fantasy|War,2
Action|Romance|Thriller,2
Adventure|Animation|Family|Sci-Fi,2
Action|Crime|Sport|Thriller,2
Animation|Comedy|Family|Sci-Fi,2
Adventure|Animation|Comedy|Family|Fantasy|Music,2
Drama|History|Sport,2
Adventure|Comedy|Mystery,2
Action|Comedy|Family|Fantasy,2
Action|Crime|Mystery|Romance|Thriller,2
Animation|Family|Fantasy|Music,2
Adventure|Animation|Family,2
Documentary|Drama,2
Comedy|Drama|Family|Music|Musical|Romance,2
Comedy|Crime|Music,2
Action|Adventure|Animation|Family|Sci-Fi,2
Drama|Fantasy|Mystery|Thriller,2
Animation|Comedy|Family|Fantasy|Music,2
Drama|Horror|Romance|Thriller,2
Adventure|Family|Fantasy|Romance,2
Action|Sci-Fi|Sport,2
Biography|Drama|History|Sport,2
Action|Fantasy|Horror|Sci-Fi|Thriller,2
Adventure|Comedy|Family|Fantasy|Horror,2
Action|Adventure|Thriller|War,2
Action|Crime,2
Adventure|Animation|Comedy|Family|Fantasy|Romance,2
Adventure|Drama|War,2
Action|Adventure|Comedy|Western,2
Drama|Music|Musical|Romance,2
Drama|Mystery|Romance|War,2
Biography|Comedy|Drama|Romance,2
Action|Crime|Drama|Sci-Fi|Thriller,2
Crime|Drama|Music,2
Action|Adventure|Drama|Sci-Fi|Thriller,2
Action|Comedy|Crime|Romance,2
Action|Horror,2
Action|Adventure|Horror|Thriller,2
Drama|Family|Fantasy,2
Drama|Fantasy|Musical|Romance,2
Adventure|Comedy|Family|Fantasy|Sci-Fi,2
Biography|Drama|History|Thriller,2
Animation|Family|Fantasy|Musical,2
Action|Drama|Family|Sport,2
Comedy|Drama|Family|Fantasy|Romance,2
Adventure|Drama|Mystery,2
Comedy|Fantasy|Sci-Fi,2
Action|Drama|Fantasy,2
Biography|Drama|Romance|Sport,2
Biography|Comedy|Romance,2
Action|Comedy|Sci-Fi|Thriller,2
Drama|Thriller|War,2
Action|Adventure|Family|Sci-Fi,2
Drama|Romance|War|Western,2
Action|Adventure|Crime|Drama|Thriller,2
Adventure|Comedy|Family|Sport,2
Comedy|Family|Sport,2
Animation|Comedy|Family|Fantasy|Musical,2
Comedy|Drama|Family|Music|Romance,2
Comedy|Horror|Romance,2
Animation|Comedy|Family|Mystery|Sci-Fi,2
Action|Comedy|Horror,2
Action|Adventure|Comedy|Romance|Sci-Fi,2
Action|Biography|Crime|Drama,2
Adventure|Animation|Comedy|Drama|Family|Musical,2
Action|Comedy|Family,2
Comedy|Fantasy|Horror|Romance,2
Biography|Comedy|Drama|Sport,2
Comedy|Drama|Romance|Thriller,2
Biography|Drama|Thriller|War,2
Action|Drama|Western,2
Comedy|War,2
Comedy|Mystery,2
Action|Biography|Drama|Sport,2
Action|Comedy|Crime|Fantasy,2
Comedy|Crime|Drama|Mystery|Romance,2
Biography|Drama|Romance|War,2
Drama|Family|Romance,2
Documentary|History,2
Documentary|History|Music,2
Adventure|Mystery|Thriller,2
Comedy|Drama|War,2
Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,2
Comedy|Crime|Family,2
Comedy|Drama|Horror|Sci-Fi,2
Biography|Crime|Drama|Romance,2
Drama|Romance|Sci-Fi|Thriller,2
Drama|Family|Musical|Romance,2
Comedy|Drama|Musical,2
Mystery|Romance|Thriller,2
Musical|Romance,2
Biography|Drama|Music|Romance,2
Adventure|Horror,2
Drama|Musical,2
Romance,2
Comedy|Horror|Musical,2
Animation|Drama|Family|Fantasy,1
Adventure|Drama|Family|Mystery,1
Action|Comedy|Sci-Fi|Western,1
Action|Adventure|Fantasy|Horror|Thriller,1
Action|Adventure|Family|Fantasy|Romance,1
Action|Adventure|Family|Mystery|Sci-Fi,1
Adventure|Sci-Fi,1
Action|Adventure|Biography|Drama|History|Romance|War,1
Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,1
Action|Adventure|Animation|Fantasy,1
Action|Drama|Mystery|Sci-Fi,1
Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,1
Animation|Comedy|Family|Musical,1
Adventure|Animation|Comedy|Family|Western,1
Action|Adventure|Family|Mystery,1
Adventure|Animation|Family|Thriller,1
Action|Family|Sport,1
Adventure|Animation|Drama|Family|Musical,1
Action|Adventure|Comedy|Family|Fantasy,1
Action|Comedy|Crime|Sci-Fi|Thriller,1
Animation|Comedy|Family|Music|Western,1
Action|Drama|Sci-Fi|Sport,1
Animation|Family|Fantasy|Musical|Romance,1
Crime|Drama|Fantasy|Mystery,1
Biography|Crime|Drama|History|Romance,1
Action|Drama|Mystery|Thriller,1
Animation|Drama|Family|Musical|Romance,1
Action|Adventure|Comedy|Family|Mystery,1
Action|Fantasy|Horror|Mystery,1
Action|Sci-Fi|War,1
Action|Adventure|Animation|Family|Fantasy,1
Action|Crime|Fantasy|Romance|Thriller,1
Action|Adventure|Biography|Drama|History|Thriller,1
Animation|Comedy|Family|Sport,1
Comedy|Sci-Fi|Thriller,1
Drama|Mystery|Romance|Sci-Fi|Thriller,1
Drama|History|War|Western,1
Adventure|Comedy|Family|Mystery|Sci-Fi,1
Adventure|Comedy|Drama|Fantasy|Romance,1
Action|Adventure|Comedy|Crime|Thriller,1
Adventure|Animation|Family|Fantasy|Musical|War,1
Action|Adventure|Animation|Family|Fantasy|Sci-Fi,1
Action|Animation|Comedy|Sci-Fi,1
Comedy|Family|Fantasy|Horror|Mystery,1
Action|Adventure|Comedy|Crime|Mystery|Thriller,1
Action|Family|Fantasy|Musical,1
Animation|Comedy|Family|Music|Romance,1
Animation|Comedy|Family|Fantasy|Musical|Romance,1
Action|Comedy|Fantasy|Romance,1
Action|Adventure|Fantasy|Horror|Sci-Fi,1
Crime|Drama|History|Mystery|Thriller,1
Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,1
Action|Drama|Romance|Sci-Fi|Thriller,1
Comedy|Crime|Sport,1
Adventure|Drama|History|Romance|War,1
Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport,1
Adventure|Comedy|Crime|Family|Mystery,1
Action|Adventure|Comedy|Romance,1
Adventure|Animation|Family|Western,1
Action|Adventure|Family|Sci-Fi|Thriller,1
Action|Adventure|Family|Fantasy|Thriller,1
Action|Adventure|Comedy|Fantasy|Thriller,1
