genres,mean_imdb_score
Action|Adventure|Comedy|Drama|Music|Sci-Fi,1
Crime|Drama|Film-Noir|Mystery|Thriller,1
Comedy|Fantasy|Musical|Sci-Fi,1
Biography|Crime|Documentary|History|Thriller,1
Action|Comedy|Mystery,1
Adventure|Comedy|Horror,1
Animation|Comedy|Crime|Drama|Family,1
Adventure|Comedy|Sport,1
Action|Drama|Horror|Thriller,1
Crime|Documentary|War,1
Adventure|Biography|Documentary|Drama,1
Comedy|Fantasy|Thriller,1
Drama|Fantasy|Sci-Fi,1
Action|Adventure|Drama|War,1
Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,1
Adventure|Family|Romance,1
Adventure|Biography|Drama|Horror|Thriller,1
Biography|Documentary|Sport,1
Action|Biography|Documentary|Sport,1
Comedy|Fantasy|Horror|Musical,1
Biography|Documentary,1
Action|Fantasy|Horror|Mystery|Thriller,1
Animation|Comedy|Drama|Fantasy|Sci-Fi,1
Sci-Fi,1
Adventure|Horror|Sci-Fi,1
Crime|Documentary,1
Adventure|Documentary,1
Comedy|Crime|Drama|Horror|Thriller,1
Comedy|Documentary|Drama,1
Comedy|Crime|Horror,1
